Number of Referrals,Tenure in Months,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Number of Dependents,Total Customer Svc Requests,Product/Service Issues Reported,Contract_One Year,Contract_Two Year,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Payment Method_Credit Card,Payment Method_Mailed Check
0,32,1,1,15,0,1,1,1,1,1,1,1,0,83.7,0.0,0.0,1199.36,1,56,0,0,0,1,0,0,1,0,1,0
5,55,1,1,19,1,1,0,0,0,0,0,0,1,85.1,14.3,874.0,1105.5,0,51,2,1,0,0,0,0,1,0,0,0
0,27,1,1,12,0,0,1,0,0,1,0,0,0,91.832,0.0,296.0,457.38000000000005,0,72,0,0,0,0,0,1,0,0,1,0
0,10,0,1,29,0,0,0,0,0,0,0,1,0,45.25,44.9,12.43,35.5,0,46,0,1,0,0,0,0,1,0,1,0
0,6,0,1,30,0,1,0,0,1,0,0,1,1,88.764,0.0,0.0,71.82000000000001,1,61,0,4,0,0,0,0,0,0,0,0
0,13,0,1,23,0,0,1,0,0,0,0,0,1,77.272,0.0,216.0,524.81,0,73,0,1,2,0,0,1,0,0,0,0
0,1,0,1,19,0,0,0,0,1,1,1,0,1,89.35,0.0,0.0,5.36,0,38,1,0,0,0,0,1,0,0,0,0
0,60,0,1,48,1,0,1,1,1,1,1,1,1,104.95,0.0,0.0,1372.8,0,30,0,1,0,0,0,0,1,0,0,0
1,56,1,1,71,0,0,1,0,1,1,1,1,1,99.8,0.0,0.0,2372.72,0,27,0,0,0,1,0,1,0,0,1,0
6,72,1,1,14,1,1,1,1,1,1,1,0,1,112.9,0.0,1129.0,2181.6,1,69,0,3,0,0,1,0,0,0,1,0
0,36,0,1,52,1,0,1,1,1,1,1,0,1,79.2,0.0,1485.0,1530.36,1,27,0,0,0,0,0,1,0,0,1,0
0,66,0,1,29,0,1,1,0,1,1,1,1,0,103.48,0.0,194.6,1704.12,1,62,0,4,0,0,0,0,0,0,0,0
0,49,1,1,25,0,1,0,1,1,1,1,1,1,106.65,0.0,0.0,1103.48,1,45,0,1,1,1,0,0,0,0,0,0
0,1,0,1,16,0,0,0,0,0,0,0,0,0,26.26,0.0,0.0,0.0,0,77,0,1,1,0,0,0,1,0,0,0
0,22,1,1,9,0,0,0,0,1,1,1,0,1,100.568,0.0,187.0,883.96,1,65,0,1,0,0,0,0,0,0,0,0
3,71,1,0,0,0,0,0,0,0,0,0,0,0,24.75,0.0,0.0,2281.23,0,55,0,1,0,0,1,0,0,1,0,0
0,6,0,1,51,0,1,0,0,0,1,1,0,1,85.95,0.0,262.0,243.84,0,28,0,1,0,0,0,1,0,0,1,0
2,37,1,1,15,0,1,1,0,0,1,1,0,1,95.15,0.0,530.0,1518.11,0,40,1,1,0,0,0,0,1,0,0,0
4,21,0,1,11,0,0,0,0,1,0,0,0,0,54.6,0.0,124.0,360.99,1,57,0,0,0,0,0,0,1,0,0,0
3,46,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0.0,0.0,739.22,1,59,0,0,0,0,0,0,0,1,0,0
10,51,0,0,0,0,0,0,0,0,0,0,0,0,19.95,0.0,0.0,741.54,0,60,1,2,0,0,1,0,0,1,1,0
3,69,1,1,27,1,1,1,1,1,1,1,0,1,116.0,0.0,2209.0,2657.88,0,55,0,0,0,0,1,0,1,0,0,0
0,46,0,1,26,0,1,1,0,1,0,0,1,1,91.3,0.0,0.0,548.78,0,65,0,2,0,1,0,0,1,0,0,0
1,67,1,1,27,0,1,0,1,1,0,0,1,0,94.1,0.0,0.0,763.8000000000001,0,53,3,2,0,0,1,0,1,0,1,0
10,50,0,0,0,0,0,0,0,0,0,0,0,0,20.55,0.0,0.0,506.50000000000006,0,37,3,2,0,0,1,0,0,1,1,0
0,26,1,1,22,0,0,0,0,0,1,1,1,1,87.308,0.0,0.0,371.8,1,36,0,2,0,0,0,0,0,0,0,0
1,72,1,1,14,1,1,1,1,1,0,0,0,0,106.1,0.0,1072.0,461.52,0,57,1,3,0,0,1,1,0,0,1,0
0,26,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0.0,0.0,824.98,1,31,0,0,0,0,0,0,0,1,1,0
0,62,1,0,0,0,0,0,0,0,0,0,0,0,26.0,0.0,0.0,175.46,0,51,3,0,0,0,1,0,0,1,0,0
0,69,1,1,10,1,1,1,1,0,1,1,0,1,81.744,0.0,536.0,2027.22,1,51,0,1,0,1,0,0,1,0,1,0
0,58,1,1,28,0,0,1,1,1,1,1,0,1,108.836,0.0,1741.0,2386.12,1,34,0,2,1,1,0,0,1,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0.0,0.0,737.1,1,62,0,2,0,1,0,0,0,1,0,1
1,29,1,1,7,0,0,1,0,1,1,1,0,1,103.012,0.0,207.0,647.5699999999999,0,65,0,0,0,0,0,1,0,0,0,0
0,38,1,1,26,1,1,0,0,1,1,1,0,1,104.85,0.0,1011.0,164.92,1,47,0,0,0,1,0,0,1,0,0,0
2,71,0,1,19,1,0,1,1,1,1,1,1,1,82.55,0.0,0.0,2002.91,1,34,0,3,0,0,1,1,0,0,0,0
1,61,1,1,20,1,1,1,1,0,1,1,0,1,80.8,17.17,972.0,2652.28,1,53,0,3,0,0,1,1,0,0,0,0
0,3,0,1,16,1,0,0,1,0,0,0,1,1,82.3,0.0,0.0,134.91,1,61,0,1,2,0,0,0,1,0,1,0
1,4,0,1,19,0,0,0,0,0,0,0,1,0,44.8,0.0,3.22,103.6,1,40,2,1,0,0,0,0,0,0,0,0
10,61,1,1,52,1,0,1,1,0,1,1,1,0,75.35,0.0,0.0,1756.8,1,21,0,1,0,0,1,0,0,0,1,0
1,70,0,1,41,1,1,1,1,0,0,0,1,0,64.95,42.89,0.0,114.1,1,24,0,1,0,0,1,0,1,0,1,0
6,13,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0.0,0.0,217.62,0,27,1,1,0,0,0,0,0,1,1,0
0,21,0,0,0,0,0,0,0,0,0,0,0,1,20.35,0.0,0.0,473.13,1,31,0,1,0,1,0,0,0,1,1,0
8,37,0,0,0,0,0,0,0,0,0,0,0,1,19.85,0.0,0.0,573.87,0,54,0,3,0,1,0,0,0,1,0,0
4,72,0,1,25,1,0,1,1,1,1,0,1,1,104.1,0.0,0.0,1211.04,1,67,2,0,0,0,1,0,1,0,1,0
3,20,1,1,3,0,1,0,1,1,1,0,1,0,107.05,0.0,0.0,551.1999999999999,1,68,0,0,0,1,0,0,0,0,0,0
0,9,0,1,25,0,0,0,0,0,1,1,0,1,82.732,0.0,181.0,408.69,0,40,0,2,0,0,0,1,0,0,0,0
0,24,1,1,14,0,1,1,0,0,0,0,1,1,84.85,0.0,28.68,315.12,1,57,0,0,0,0,0,0,1,0,0,0
4,65,1,1,9,0,1,1,0,1,1,0,1,1,108.8,21.52,0.0,3154.4500000000003,0,69,0,0,0,0,1,1,0,0,0,0
1,50,1,1,8,1,0,1,0,1,1,1,1,1,105.05,0.0,0.0,2045.0,1,77,0,1,0,0,1,0,1,0,1,0
0,1,0,1,10,0,0,0,0,0,0,0,1,1,26.104000000000003,0.0,0.0,0.0,1,67,0,0,0,0,0,0,0,0,0,0
0,57,0,1,24,0,0,1,1,0,0,0,1,1,53.5,0.0,0.0,1621.0800000000002,1,78,0,0,0,1,0,0,1,0,0,0
7,58,1,1,10,0,0,1,0,1,1,1,1,0,100.35,0.0,0.0,330.02000000000004,1,39,0,2,1,1,0,0,1,0,1,0
0,58,1,1,19,1,1,1,0,1,1,1,1,1,107.75,0.0,0.0,2708.6000000000004,0,51,0,1,0,1,0,0,1,0,0,0
7,65,1,0,0,0,0,0,0,0,0,0,0,0,26.0,0.0,0.0,191.75,0,48,1,0,0,0,1,0,0,1,1,0
0,1,0,1,23,0,0,0,0,0,0,0,1,0,70.1,0.0,0.0,1.15,0,53,0,0,0,0,0,0,1,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0.0,0.0,30.32,1,32,0,0,0,0,0,0,0,1,1,0
1,20,0,1,16,0,1,0,0,0,1,0,1,1,60.0,0.0,0.0,179.60000000000002,0,70,0,0,0,1,0,1,0,0,0,0
4,56,1,1,53,0,1,0,1,1,0,0,0,1,96.95,0.0,2879.0,1317.12,1,39,3,1,0,0,0,0,0,0,1,0
0,35,1,1,19,1,0,0,0,0,1,0,0,0,91.0,0.0,604.0,916.65,1,78,0,3,1,0,0,1,0,0,1,0
1,2,0,1,56,0,0,0,0,1,1,1,0,0,68.328,0.0,75.0,54.54,0,21,2,1,1,0,0,1,0,0,1,0
1,30,1,1,24,0,0,0,0,1,1,1,1,1,97.812,0.0,0.0,315.0,1,33,0,4,1,0,0,0,0,0,1,0
4,60,0,1,30,1,1,1,1,0,0,0,0,1,65.85,0.0,1178.0,2614.2,1,35,0,2,0,1,0,0,1,0,0,0
1,29,0,1,16,1,0,0,0,1,1,1,0,0,98.436,0.0,424.0,1174.21,1,43,0,1,1,0,0,0,1,0,1,0
0,22,1,1,16,0,0,0,0,0,1,1,0,0,83.05,0.0,288.0,252.12,1,35,0,1,0,0,0,0,0,0,0,0
8,69,1,1,24,1,1,1,1,0,1,1,1,1,107.2,0.0,0.0,2302.53,1,51,0,1,0,1,0,0,1,0,1,0
0,29,1,0,0,0,0,0,0,0,0,0,0,0,25.15,0.0,0.0,131.37,0,47,0,1,0,0,0,0,0,1,0,0
0,60,1,1,48,0,0,1,0,0,0,0,1,1,79.2,0.0,0.0,917.4,0,24,0,1,0,1,0,0,1,0,0,0
3,45,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0.0,0.0,1756.35,1,24,2,1,0,0,1,0,0,1,1,0
8,63,1,1,23,0,1,1,1,1,1,1,1,1,109.25,0.0,157.35,672.21,0,64,0,2,2,0,1,1,0,0,0,0
0,1,0,1,26,0,0,0,0,1,0,0,0,1,82.36800000000001,0.0,0.0,20.06,0,69,0,2,0,0,0,1,0,0,0,0
1,37,0,1,25,1,1,1,0,0,0,0,0,0,41.80800000000001,0.0,362.0,0.0,1,52,1,2,0,0,0,0,0,0,0,0
10,8,0,1,59,0,1,0,1,0,0,0,0,0,56.3,0.0,237.0,254.88,0,24,1,2,1,0,0,0,1,0,0,0
0,16,0,1,28,0,1,0,0,0,1,1,1,1,86.25,0.0,0.0,356.8,0,40,0,0,0,0,0,1,0,0,0,0
2,10,0,1,20,1,0,1,1,1,0,0,1,1,52.55,0.0,0.0,0.0,0,43,0,0,0,0,1,1,0,0,0,0
1,34,1,1,16,0,0,0,0,0,0,0,0,1,75.55,0.0,388.0,70.38,1,66,0,0,0,0,0,0,0,0,0,0
0,62,0,1,30,1,1,0,0,1,1,1,0,1,74.3,0.0,1409.0,2376.46,1,56,0,0,0,1,0,0,0,0,1,0
10,67,1,1,57,1,0,0,1,1,1,1,0,0,104.6,0.0,3925.0,757.77,1,32,3,1,0,0,1,1,0,0,0,0
0,45,0,0,0,0,0,0,0,0,0,0,0,1,20.4,0.0,0.0,1143.0,1,49,0,3,0,1,0,0,0,1,0,0
0,60,0,1,73,1,0,1,0,0,1,1,0,1,44.45,0.0,2025.0,0.0,0,29,0,1,0,1,0,1,0,0,0,0
0,1,0,1,57,1,0,0,0,0,0,1,1,1,76.544,0.0,0.0,6.19,0,21,0,4,1,0,0,0,1,0,1,0
0,1,0,1,33,0,0,0,0,0,0,0,1,1,72.904,0.0,0.0,46.17,0,58,0,1,0,0,0,1,0,0,0,0
9,64,1,1,29,0,1,1,0,0,1,0,1,1,94.25,0.0,0.0,1493.12,1,79,0,0,0,0,1,0,1,0,0,0
0,12,1,1,23,0,0,0,0,0,0,0,0,1,76.6,0.0,205.0,313.56,0,43,1,2,0,0,0,0,0,0,0,0
0,32,1,1,5,0,0,1,0,0,0,0,1,1,81.1,19.25,13.1,35.84,1,77,0,0,0,1,0,0,0,0,1,0
0,8,0,1,6,0,0,0,0,0,0,0,0,1,46.956,0.0,26.0,284.24,1,59,0,3,0,0,0,1,0,0,1,0
0,7,0,1,16,0,0,1,0,1,1,1,0,1,99.164,34.29,106.0,338.52,0,46,0,1,0,0,0,0,0,0,0,0
5,53,0,1,52,0,1,0,1,1,0,0,1,1,92.55,0.0,0.0,1289.49,1,25,2,0,0,0,0,0,1,0,0,0
0,52,1,1,22,0,1,1,0,1,1,1,0,1,103.05,46.67,1180.0,281.84,1,33,0,2,0,0,0,1,0,0,0,0
0,38,0,1,53,1,1,1,0,0,0,1,1,1,87.25600000000001,0.0,0.0,1374.84,0,26,0,1,0,0,0,0,1,0,1,0
5,17,0,1,27,0,0,1,1,1,1,1,0,0,54.6,47.73,252.0,0.0,1,29,0,1,0,1,0,1,0,0,0,0
0,2,0,1,8,0,0,0,0,0,0,0,0,1,69.7,0.0,11.0,31.34,0,54,0,2,0,0,0,0,1,0,0,0
2,52,0,1,29,0,0,1,0,0,0,0,1,1,50.95,0.0,0.0,521.56,0,59,2,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0.0,0.0,40.48,0,19,0,0,0,0,0,0,0,1,1,0
0,66,1,1,5,1,1,0,1,0,0,0,1,1,63.85,0.0,20.87,2407.68,0,72,0,0,0,1,0,0,0,0,1,0
7,17,1,1,8,0,1,0,0,0,0,0,1,1,80.5,0.0,0.0,794.07,1,31,0,1,0,0,0,0,1,0,0,0
7,54,1,1,26,1,1,1,1,1,1,1,0,1,114.65,0.0,1573.0,615.6,0,63,0,2,0,1,0,0,1,0,1,0
1,13,0,1,11,0,0,0,0,1,1,1,0,0,91.884,0.0,135.0,231.79,0,52,0,4,0,0,0,1,0,0,0,0
0,2,0,1,14,0,0,1,0,0,0,0,0,1,31.616,0.0,11.0,0.0,0,73,0,3,0,0,0,1,0,0,0,0
0,5,0,1,64,0,0,0,0,0,0,0,0,1,72.488,0.0,203.0,63.0,1,56,3,1,1,0,0,0,0,0,0,0
6,43,0,1,21,1,0,1,1,0,0,0,1,1,84.25,0.0,74.32,653.6,1,61,0,3,0,1,0,0,1,0,0,0
0,72,1,1,13,0,1,1,1,1,1,1,1,1,111.6,0.0,104.17,1741.68,0,42,0,1,1,0,1,1,0,0,0,0
0,51,1,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,0.0,158.61,1,67,0,0,0,1,0,0,0,1,0,0
0,3,0,1,25,1,0,1,1,0,0,0,0,0,41.35,0.0,27.0,0.0,1,32,0,2,0,0,0,0,1,0,1,0
0,16,0,1,8,0,1,1,0,0,1,1,0,1,96.928,35.7,126.0,652.16,0,40,0,0,0,0,0,1,0,0,1,0
0,9,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0.0,0.0,394.47,0,56,0,3,0,0,0,0,0,1,0,0
0,7,0,1,7,0,0,0,0,0,0,0,0,0,69.15,0.0,34.0,147.84,1,54,0,2,0,0,0,0,1,0,0,0
0,36,1,1,24,0,0,0,0,0,1,1,0,1,88.296,0.0,736.0,887.76,1,46,0,0,0,0,0,1,0,0,0,0
0,18,1,0,0,0,0,0,0,0,0,0,0,0,25.3,0.0,0.0,543.96,0,45,2,1,0,0,1,0,0,1,1,0
0,2,0,1,14,0,1,0,0,1,0,0,1,1,83.8,0.0,0.0,65.96,0,76,0,1,0,0,1,0,1,0,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0.0,0.0,227.92,1,42,0,0,0,1,0,0,0,1,1,0
1,69,0,1,24,1,1,0,1,1,1,1,0,1,106.35,0.0,1743.0,2960.1,1,38,2,0,0,0,1,0,1,0,1,0
0,12,1,1,47,0,0,0,1,1,1,1,1,1,75.85,0.0,0.0,591.0,0,23,0,0,0,1,0,1,0,0,1,0
4,51,1,1,59,0,0,1,0,0,1,1,1,1,90.15,0.0,0.0,1014.9,0,21,3,2,2,1,0,0,1,0,0,0
1,30,0,1,32,0,1,0,0,0,0,0,0,1,52.416,0.0,489.0,139.5,1,71,0,1,0,0,0,0,1,0,0,0
2,54,1,1,23,1,1,0,0,1,1,1,1,0,110.812,0.0,132.56,476.82,0,59,0,0,0,1,0,0,0,0,0,0
1,67,0,1,28,0,1,0,0,0,0,0,0,0,50.55,0.0,961.0,3142.3,0,44,3,2,0,1,0,0,1,0,1,0
6,67,1,1,23,0,1,1,1,1,1,1,1,1,109.7,0.0,0.0,1187.24,0,50,0,1,0,1,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.2,0.0,0.0,43.52,0,48,0,1,0,0,0,0,0,1,0,0
7,8,0,0,0,0,0,0,0,0,0,0,0,1,19.55,0.0,0.0,178.72,1,38,0,0,0,0,0,0,0,1,0,0
2,23,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0.0,0.0,557.06,1,64,1,1,0,1,0,0,0,1,1,0
0,2,1,1,31,0,0,1,0,0,1,1,0,1,92.092,0.0,56.0,43.14,0,68,0,3,6,0,0,0,0,0,0,0
0,21,1,1,48,0,1,0,0,1,1,1,0,1,99.85,0.0,956.0,522.06,0,24,0,1,0,0,0,1,0,0,1,0
0,66,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0.0,0.0,1401.18,1,58,0,1,0,0,1,0,0,1,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,1,20.5,0.0,0.0,123.05,0,44,0,0,0,0,0,0,0,1,1,0
8,70,1,1,23,1,1,0,0,1,0,0,1,1,69.2,0.0,112.06,2056.6,0,52,0,1,0,0,1,0,1,0,1,0
1,33,1,1,16,0,1,0,0,0,0,0,1,1,83.824,0.0,0.0,1095.27,0,76,0,2,0,0,0,1,0,0,0,0
6,58,0,0,0,0,0,0,0,0,0,0,0,0,20.3,25.57,0.0,998.18,0,35,1,1,0,0,1,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0.0,0.0,13.3,0,58,0,0,0,0,0,0,0,1,1,0
5,23,0,1,41,1,1,0,1,0,0,0,1,1,57.75,0.0,0.0,296.24,0,30,0,0,0,1,0,0,1,0,1,0
0,64,0,0,0,0,0,0,0,0,0,0,0,0,19.55,0.0,0.0,2493.44,1,42,0,1,0,0,1,0,0,1,1,0
3,53,1,1,69,0,1,1,1,1,1,1,1,1,111.8,0.0,0.0,2216.46,0,29,0,0,0,1,0,0,1,0,0,0
0,59,1,1,13,1,1,1,1,0,0,0,0,1,94.05,0.0,713.0,1129.26,0,71,0,0,0,1,0,0,0,0,0,0
2,67,1,0,0,0,0,0,0,0,0,0,0,0,26.3,0.0,0.0,974.18,1,54,2,1,0,0,1,0,0,1,1,0
6,60,1,1,19,0,1,0,0,0,1,0,1,0,89.45,0.0,0.0,1480.8,0,70,0,0,0,0,1,1,0,0,0,0
0,5,0,1,9,0,0,1,0,1,1,1,0,0,100.36,0.0,44.0,104.3,1,54,0,4,0,0,0,0,0,0,0,0
0,69,1,1,3,0,1,0,1,1,1,1,1,1,108.888,0.0,0.0,1410.36,1,52,0,3,0,1,0,0,1,0,0,0
0,36,0,1,9,1,1,1,1,0,1,1,1,1,53.1,0.0,0.0,0.0,0,46,0,0,0,0,1,0,1,0,1,0
10,32,1,1,46,1,0,0,1,1,0,0,1,1,72.8,0.0,0.0,493.12,1,26,0,2,1,1,0,0,0,0,1,0
0,15,1,1,21,0,1,0,0,1,0,0,1,0,89.0,45.69,0.0,25.05,0,72,0,1,2,1,0,0,1,0,1,0
1,11,1,1,11,0,1,0,0,1,1,1,1,1,106.08,0.0,0.0,86.78999999999999,0,36,0,2,1,0,0,0,1,0,0,0
0,66,1,1,10,1,1,1,1,0,0,0,1,0,68.75,0.0,0.0,1354.32,1,64,0,1,1,0,1,1,0,0,0,0
0,65,1,1,14,1,1,1,0,1,1,1,0,1,111.05,0.0,995.0,2715.7000000000003,0,50,0,0,0,0,0,1,0,0,1,0
0,1,0,1,2,0,0,1,0,0,0,0,1,0,76.44,0.0,0.0,3.84,0,50,0,1,2,0,0,1,0,0,0,0
0,1,0,1,29,0,1,0,0,0,0,0,1,0,78.832,0.0,0.0,14.48,0,53,0,3,3,0,0,0,0,0,0,0
0,57,0,1,20,0,1,0,1,0,0,0,0,1,54.65,0.0,627.0,531.24,1,57,0,1,0,1,0,0,1,0,1,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0.0,0.0,353.4,0,36,0,0,0,1,0,0,0,1,1,0
0,40,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0.0,0.0,334.4,0,33,0,2,0,0,1,0,0,1,0,1
1,72,1,1,6,1,1,1,1,1,1,1,1,1,88.05,0.0,38.55,1474.56,0,71,0,2,0,0,1,0,1,0,1,0
0,57,1,1,7,0,1,0,1,0,1,1,0,0,94.7,0.0,383.0,2219.58,0,47,0,0,0,1,0,0,0,0,0,0
7,72,0,1,9,1,1,1,1,1,0,0,0,0,74.4,0.0,482.0,379.44,1,69,0,3,0,0,1,0,1,0,0,0
0,54,1,1,30,0,1,1,0,1,0,0,1,1,94.75,0.0,153.65,2033.1,0,30,0,3,0,1,0,0,1,0,0,0
0,4,1,1,4,1,0,0,0,0,0,0,0,1,80.25,0.0,12.0,35.0,0,66,0,2,1,1,0,0,0,0,0,0
0,3,0,1,33,0,0,0,0,1,0,0,1,0,36.608,0.0,0.0,0.0,0,20,0,1,1,0,0,1,0,0,1,0
4,72,1,1,59,0,1,1,0,1,1,1,0,1,103.2,45.38,4344.0,2135.52,0,30,2,2,0,1,0,0,0,0,1,0
0,28,0,1,22,0,1,0,1,0,0,0,0,1,54.4,0.0,334.0,964.04,1,55,1,1,0,1,0,0,1,0,1,0
9,38,0,0,0,0,0,0,0,0,0,0,0,1,20.2,0.0,0.0,1019.92,0,54,1,0,0,0,1,0,0,1,1,0
0,5,0,1,6,0,0,0,1,0,0,0,1,1,75.65,0.0,0.0,148.75,0,62,0,0,0,0,0,1,0,0,1,0
4,7,0,1,9,1,0,1,1,1,1,1,1,0,81.25,47.36,0.0,85.12,0,38,0,2,1,0,0,1,0,0,0,0
1,5,0,1,24,0,0,0,1,1,0,0,0,1,89.18,44.16,113.0,5.6000000000000005,0,38,0,5,0,0,0,0,0,0,0,0
0,1,0,1,12,1,0,0,0,0,1,1,1,1,87.984,0.0,0.0,26.85,1,40,1,2,2,0,0,0,1,0,1,0
0,28,1,1,11,0,0,1,1,1,1,0,0,1,107.432,0.0,318.0,787.9200000000001,0,79,0,5,1,0,0,0,1,0,0,0
6,30,1,1,19,1,0,0,0,0,0,0,1,1,54.45,0.0,0.0,374.7,1,50,2,2,1,0,0,0,0,0,0,0
0,19,0,1,53,0,0,0,0,1,1,1,0,1,46.644000000000005,0.0,474.0,0.0,0,27,0,2,0,1,0,0,0,0,1,0
3,65,1,1,23,1,0,1,0,1,1,1,1,1,105.05,0.0,0.0,2646.15,0,35,0,0,0,0,0,1,0,0,0,0
0,8,0,1,18,0,0,0,0,0,0,0,0,0,26.52,0.0,39.0,0.0,1,40,0,5,0,0,0,0,1,0,0,1
5,69,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0.0,0.0,2931.81,0,28,2,1,2,0,1,0,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.85,0.0,0.0,9.36,0,22,0,0,0,0,0,0,0,1,1,0
1,72,1,0,0,0,0,0,0,0,0,0,0,0,25.2,0.0,0.0,2829.6,0,64,3,0,0,0,1,0,0,1,0,0
6,62,1,1,59,1,1,0,0,1,0,1,1,1,94.95,0.0,341.72,977.12,1,19,3,1,1,1,0,1,0,0,1,0
0,13,0,1,5,1,0,0,0,1,1,1,0,1,71.95,10.47,46.0,138.58,0,54,0,2,0,0,0,0,1,0,0,0
4,38,0,1,76,1,1,1,1,1,0,0,1,0,74.05,0.0,0.0,1195.1,1,59,3,1,0,1,0,0,1,0,0,0
1,32,1,1,29,1,0,0,0,1,1,1,0,1,103.532,35.82,929.0,1074.24,1,39,0,0,0,0,0,0,1,0,1,0
0,62,1,1,8,0,1,1,1,1,1,1,0,1,110.75,0.0,564.0,2963.6,1,66,0,0,0,1,0,0,0,0,0,0
10,20,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0.0,0.0,295.79999999999995,0,31,2,0,0,0,0,0,0,1,1,0
0,3,1,1,94,0,0,0,0,0,0,0,0,1,78.52,0.0,207.0,142.53,0,30,0,4,2,0,0,0,0,0,0,0
0,56,1,1,24,1,0,0,1,1,1,1,0,1,105.35,0.0,1391.0,2127.44,1,31,0,3,0,0,0,0,0,0,1,0
5,1,0,1,59,0,1,0,0,0,0,0,1,0,74.6,0.0,0.0,42.99,1,28,1,0,0,0,0,1,0,0,1,0
0,72,1,1,13,1,1,1,1,0,0,0,0,0,69.65,0.0,638.0,263.52,1,53,0,0,0,0,1,0,1,0,0,0
0,5,0,1,24,1,0,0,1,0,0,0,1,0,56.004000000000005,22.96,0.0,121.6,0,34,0,1,1,0,0,0,1,0,1,0
0,14,0,1,26,0,0,0,0,1,1,0,0,0,94.068,0.0,329.0,158.34,1,74,0,0,0,0,0,1,0,0,1,0
0,14,0,1,59,1,0,0,0,0,0,0,0,0,50.1,0.0,419.0,507.08,0,19,0,1,0,0,0,0,0,0,0,0
3,52,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0.0,0.0,513.24,0,44,2,0,0,0,1,0,0,1,1,0
1,23,0,1,30,1,0,0,1,1,1,1,0,1,103.844,0.0,699.0,872.85,1,28,0,1,0,0,0,0,0,0,0,0
0,9,0,1,73,0,0,0,1,1,1,1,1,1,69.4,0.0,41.72,150.93,0,23,3,1,0,0,0,0,1,0,1,0
6,2,0,1,19,0,0,0,0,0,0,0,1,0,69.95,0.0,2.73,58.2,1,48,2,0,0,0,0,0,1,0,1,0
0,8,0,1,73,0,0,1,1,0,1,1,0,0,64.1,0.0,368.0,360.32,0,19,0,0,0,0,0,0,1,0,0,1
0,19,0,1,15,0,1,0,0,0,0,0,1,1,76.804,0.0,0.0,34.01,1,47,0,2,1,0,0,0,0,0,1,0
1,52,0,0,0,0,0,0,0,0,0,0,0,0,19.85,0.0,0.0,177.32,0,27,1,0,0,0,1,0,0,1,0,1
0,7,1,1,14,0,0,0,0,1,0,0,1,1,88.192,0.0,0.0,276.57,1,75,0,6,0,0,0,0,0,0,0,0
4,64,0,1,12,1,1,0,0,0,0,0,1,0,81.05,0.0,0.0,3167.36,1,47,2,0,0,0,0,0,1,0,0,0
1,53,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0.0,0.0,2006.05,0,25,0,0,0,1,0,0,0,1,0,0
1,70,0,0,0,0,0,0,0,0,0,0,0,1,19.2,0.0,0.0,2704.1000000000004,0,38,3,2,1,0,1,0,0,1,1,0
0,1,0,1,24,0,0,0,0,0,1,1,0,0,82.78399999999999,0.0,0.0,19.32,1,40,0,5,0,0,0,1,0,0,0,0
0,6,0,1,52,0,0,0,0,1,1,1,0,0,45.0,0.0,155.0,0.0,0,25,0,0,0,0,0,1,0,0,1,0
4,40,0,1,48,1,1,0,1,0,1,1,0,1,71.35,0.0,1367.0,1165.6,0,30,2,1,0,0,0,0,1,0,1,0
0,59,1,0,0,0,0,0,0,0,0,0,0,0,24.45,0.0,0.0,2432.57,0,64,0,0,0,0,1,0,0,1,0,0
0,63,1,0,0,0,0,0,0,0,0,0,0,0,24.2,0.0,0.0,1684.62,0,64,0,3,1,0,1,0,0,1,1,0
0,71,1,0,0,0,0,0,0,0,0,0,0,0,24.85,0.0,0.0,1575.49,1,69,0,0,0,0,1,0,0,1,0,0
0,23,0,0,0,0,0,0,0,0,0,0,0,1,20.3,0.0,0.0,373.98,0,38,0,0,0,0,0,0,0,1,0,0
